datetime,platform,username,candidate_name,text,comment_count,view_count,like_count,url,num_interaction,Sentiment
2024-03-04 03:52:29,Youtube,Arturo Tn,Claudia Sheinbaum,"#claudiasheinbaum __ Después de terminar el arranque de campaña en el zócalo, miles se quedaron en Bellas Artes a convivir y a comprar el libro GRACIAS de Andrés Manuel Lopez Obrador",0,0,0,https://www.youtube.com/watch?v=AgJWtmNXwwo,502,positive
2024-03-06 08:49:55,Youtube,SignoMx,Claudia Sheinbaum,"🔴EN VIVO Mario Delgado. Conferencia de prensa __ El presidente de Morena, Mario Delgado, presenta los avances de campaña de Claudia Shienbaum y las de la oposición en contra de la 4T

#claudiasheinbaum #mariodelgado #xochitlgalvez",0,0,0,https://www.youtube.com/watch?v=LIgtQvBG0-4,51,neutral
2024-05-08 21:16:03,Youtube,Iber Alejandro,Claudia Sheinbaum,"⚠️NO LO QUIEREN DE FISCAL! EMBESTIDA CONTRA ZALDIVAR FINANCIADA POR EQUIPO DE XOCHITL NO QUIEREN... __ #presidente 
#claudia
#sheinbaum
#xochitlgalvez
#xochitl
#marianarodriguez
#samuelgarcia
#movimientociudadano
#pri
#noticiasmexico 
#morena 
#ine         
#amlo 
#ine  
#presidenteamlo     
#politica 
#consejeros 
#diputados",16,8683,1404,https://www.youtube.com/watch?v=_jxowfRWXBU,1420,negative
2024-05-08 20:41:57,Youtube,Poesía Política,Claudia Sheinbaum,"ESTO LE CONTESTA A LILLY TÉLLEZ#noticias #shorts __ EL DIPUTADO POR EL PT FERNÁNDEZ NOROÑA COMENTA QUE LILY TÉLLEZ ES UNA PERSONA DETESTABLE Y UNA TRAIDORA NACIONAL QUE VA HABLAR AL PROGRAMA DE CIRO GÓMEZ LEYVA A SOLTAR PESTES DE LA 4T.

#politica #mexico #noticias #shorts #noroña #claudiasheinbaum",4,1096,131,https://www.youtube.com/watch?v=THmgpLPCqyA,135,negative
2024-05-28 01:54:05,Youtube,ESPERANZA SANTANDER OFICIAL ,Claudia Sheinbaum,Claudia Sheinbaum recuerda La Linea 12 del METRO #amlo #xochiltgalvez #claudiasheinbaum #maynez __ ,9,3015,81,https://www.youtube.com/watch?v=PIy9YWyCoxo,90,negative
2024-04-29 09:00:01,Youtube,Gaceta de pagos Bienestar ,Claudia Sheinbaum,"Claudia Sheinbaum arremete tras el #DebateINE: ¡Vence a la candidata corrupta del PRIAN! __ ¡Polémica al cierre del debate! Claudia Sheinbaum, candidata destacada, contraataca ante las acusaciones de la oposición. Sheinbaum denuncia a la candidata del PRIAN como corrupta y enfatiza la presentación de propuestas y un plan de desarrollo para los próximos años como su victoria en el debate. 

 #ClaudiaSheinbaum #DebateINE #PRIAN #Corrupción #Elecciones2024 #Propuestas #Desarrollo",4,626,58,https://www.youtube.com/watch?v=0_V7Xl1AvLQ,62,negative
2024-04-17 01:59:53,Youtube,Iber Alejandro,Xóchitl Gálvez,"⚠️LA MAÑA LE SOLTÓ EL BILLETE A PIÑA! OBRADOR ALISTA TODA LA MAQUINARIA EN SU CONTRA PARA… __ #presidente 
#claudia
#sheinbaum
#xochitlgalvez
#xochitl
#marianarodriguez
#samuelgarcia
#movimientociudadano
#pri
#noticiasmexico 
#morena 
#ine         
#amlo 
#ine  
#presidenteamlo     
#politica 
#consejeros 
#diputados",18,4089,313,https://www.youtube.com/watch?v=OmfgWcQiNKE,331,negative
2024-04-03 03:26:26,Youtube,La Cura Noticiero ,Claudia Sheinbaum,Claudia cierra la basílica #claudiasheinbaum #news #noticias #amlo #humor #morena #chairos #shorts __ ,0,0,0,https://www.youtube.com/watch?v=QEulFlIQd10,192,negative
2024-01-27 19:27:24,Youtube,EL MEXA SHORTS ,Claudia Sheinbaum,EL TRAIDOR GERMAN MARTINEZ SE VA AHORA AL PAN __ #noroña #amlo #amlovers #mexico #noticias #politica #politicamexicana #news #pt #morena #mañanera #usa #tendencias #viral #felipecalderón #calderon #prianrdmc #prian #prianrd #conservadores #chayoteros #vicentefox #fox #santiagocreel #xochitlgalvez #claudiasheinbaum  #shorts #short,0,0,0,https://www.youtube.com/watch?v=nctNizGIquU,674,negative
2024-05-31 15:30:01,Youtube,Iber Alejandro,Claudia Sheinbaum,"!ESTO ES UNA MENTADA¡ el INE calla como momia y LORET LLAMANDÓ A VOTAR por XÓCHITL __ #presidente 
#claudia
#sheinbaum
#xochitlgalvez
#xochitl
#marianarodriguez
#samuelgarcia
#movimientociudadano
#pri
#noticiasmexico 
#morena 
#ine         
#amlo 
#ine  
#presidenteamlo     
#politica 
#consejeros 
#diputados",6,1682,161,https://www.youtube.com/watch?v=6OwqFrwB6JU,167,negative
2024-05-28 16:00:09,Youtube,Perspectiva Progresista,Claudia Sheinbaum,La Defensora __ #xochitlpresidenta #claudiasheinbaum #morena #amlo #amlovers #elecciones2024 #prian #mexico #pan #xóchitl #xochiltgalvez #mañanera #mexicanosenusa,41,15640,1123,https://www.youtube.com/watch?v=Dha0wVaENYs,1164,negative
2024-04-08 03:08:43,Youtube,Jesus Bmbm,Claudia Sheinbaum,XÓCHITL GÁLVEZ PRESIDENTE #noticias #amlo #xóchitlgálvez #sheinbaum #claudiasheinbaum __ ,144,10891,74,https://www.youtube.com/watch?v=_Zfgev9NuL4,218,neutral
2024-04-03 00:52:11,Youtube,Iber Alejandro,Claudia Sheinbaum,"irving chillón llegó a la mañanera a pedirle una entrevista a #amlo para salinas pliego __ #presidente 
#claudia
#sheinbaum
#xochitlgalvez
#xochitl
#marianarodriguez
#samuelgarcia
#movimientociudadano
#pri
#noticiasmexico 
#morena 
#ine         
#amlo 
#ine  
#presidenteamlo     
#politica 
#consejeros 
#diputados",0,0,0,https://www.youtube.com/watch?v=Pj4wAgaExZQ,378,negative
2024-07-22 04:31:55,Youtube,Sin Puntos Ni Comas Informa,Claudia Sheinbaum,#claudiasheinbaum #mexicanos #mexico #cuartatransformación __ ,11,8277,974,https://www.youtube.com/watch?v=ieJ-fZmSnMY,985,negative
2024-04-10 01:04:29,Youtube,KEDEFRE ,Claudia Sheinbaum,"Presidente AMLO Amenaza A Ecuador ""A Mexico Lo Van A Respetar"" __ Luego de los acontecimientos deplorables del gobierno ecuatoriano de invadir la soberanía de México al irrumpir a la embajada, el presidente AMLO les hace un llamado de advertencia"" A MEXICO SE LE RESPETA""

#amlo #mexico #ecuador #latinoamerica #colombia #peru #chile #venezuela #argentina #brazil #2024 #soberanía #viral #4t #claudiasheinbaum",0,0,0,https://www.youtube.com/watch?v=eZMnAyu6a08,674,negative
2024-04-23 13:24:57,Youtube,Sistema Informativo NED,Claudia Sheinbaum,"Justicia Para La Clase Obrera, Susana Terrazas Pide Aprobar Ley de Horas __ #conferenciapresidente #lópezobrador #cuartatransformación #xochitlgalvez #mañanera #noticias #claudiasheinbaum #morena #amlo #viral #elecciones2024 #trending #cuartatransformación #shorts #video",11,993,65,https://www.youtube.com/watch?v=c8cfaxy-Uro,76,negative
2024-03-24 16:00:28,Youtube,Poesía Política,Claudia Sheinbaum,"YA PARALE A TUS MENTIRAS. __ Una vez mas La Candidata por PRIANRD comenta las mismas palabras que los anteriores gobiernos con un discurso 100% conservador ,así es como Xochitl pretende llegar a mas gente con un discurso por mas copiado.
#morena2024 #4transformacion #shortsfeed #claudiasheinbaum #xochitlgalvez #poesiapolitica #politica #noticias 
Suscribete
Comenta y Comenta!!",0,0,0,https://www.youtube.com/watch?v=mvJ5ObQX3mk,177,negative
2024-05-21 17:47:15,Youtube,Proyecto Puente,Claudia Sheinbaum,👉🏻Esto respondió el gobernador de #Sonora Alfonso Durazo sobre unirse al gabinete de #Sheinbaum __ ,8,10691,361,https://www.youtube.com/watch?v=MHZIDrqfGTM,369,neutral
2024-03-24 00:18:54,Youtube,Iber Alejandro,Claudia Sheinbaum,"Fox pide voto para Taboada __ #presidente 
#claudia
#sheinbaum
#xochitlgalvez
#xochitl
#marianarodriguez
#samuelgarcia
#movimientociudadano
#pri
#noticiasmexico 
#morena 
#ine         
#amlo 
#ine  
#presidenteamlo     
#politica 
#consejeros 
#diputados",0,0,0,https://www.youtube.com/watch?v=nqu1G3vYFQc,671,negative
2024-06-06 11:45:06,Youtube,Iber Alejandro,Xóchitl Gálvez,"🔴​ SE LO CARGÓ EL PAYASO! CLAUDIO PIDIÓ LA CABEZA DE ALITO ¡conoce los motivos reales del caso! __ #presidente 
#claudia
#sheinbaum
#xochitlgalvez
#xochitl
#marianarodriguez
#samuelgarcia
#movimientociudadano
#pri
#noticiasmexico 
#morena 
#ine         
#amlo 
#ine  
#presidenteamlo     
#politica 
#consejeros 
#diputados",66,6057,1093,https://www.youtube.com/watch?v=xSJzykT8CBo,1159,negative
2024-05-16 20:58:02,Youtube,Iber Alejandro,Claudia Sheinbaum,"SE LE CAYÓ LA JUGADA A PIÑA! EL PRESIDENTE DIO LA ORDEN,EN PALACIO CELEBRARON DECISIÓN DEL JUEZ __ #presidente 
#claudia
#sheinbaum
#xochitlgalvez
#xochitl
#marianarodriguez
#samuelgarcia
#movimientociudadano
#pri
#noticiasmexico 
#morena 
#ine         
#amlo 
#ine  
#presidenteamlo     
#politica 
#consejeros 
#diputados",123,40690,4360,https://www.youtube.com/watch?v=KgC1VGU2tfo,4483,negative
2024-05-25 02:30:06,Youtube,Jesús Escobar Tovar ,Claudia Sheinbaum,"LOS INTELECTUALES DE LA 4T DAN LA CARA POR CLAUDIA; ARDIDOS LOS LLAMA XOCHITL __ A unos días de la elección presidencial del 2 de junio, 900 académicos, intelectuales, científicos y artistas firmaron un desplegado en el cual llaman a votar por la candidata presidencial de la coalición Sigamos Haciendo Historia, Claudia Sheinbaum.

#claudiasheinbaum #xóchitlgálvez",262,32387,6962,https://www.youtube.com/watch?v=ffGX9jkhABE,7224,negative
2024-05-28 02:52:05,Youtube,SDPNoticias,Claudia Sheinbaum,"MÁYNEZ se BURLA de la OPOSICIÓN 👀🤭 tras RENUNCIA de ALEJANDRA del MORAL al PRI por MORENA 😱🫠 __ Jorge Álvarez Máynez, candidato de Movimiento Ciudadano, dijo que le da ternura la oposición tras la renuncia de Alejandra del Moral al PRI para incluirse a Morena. 

#sdpnoticias #sdp #noticiasenespañol #noticiasmexico #noticias #xochiltgalvez #xóchitlgálvez #maynez #sheinbaum #elecciones2024",13,10481,225,https://www.youtube.com/watch?v=tJX7PWj2mSM,238,negative
2024-01-09 15:29:51,Youtube,Central Live,Claudia Sheinbaum,"Desbancan a Ernestina __ Ernestina Godoy, instrumento de venganza de #amlo  y Titina #claudiasheinbaum no cuaja para otro periodo como Fiscal de la #cdmx y ejercerá en MAXIMATO desde un escaño que le ofrece AMLO. 
#FueraelDictador",0,0,0,https://www.youtube.com/watch?v=JjN0kVhaBhk,1067,negative
2024-01-23 19:20:50,Youtube,Iber Alejandro,Xóchitl Gálvez,"¡SALIÓ LA VERDAD! EN PALACIO EXHIBIERON A AZUCENA Y LA BRUTARGA SALIÓ EMBARRADA ESTE ES EL MOTIVO __ #presidente 
#claudia
#sheinbaum
#xochitlgalvez
#xochitl
#marianarodriguez
#samuelgarcia
#movimientociudadano
#pri
#noticiasmexico 
#morena 
#ine         
#amlo 
#ine  
#presidenteamlo     
#politica 
#consejeros 
#diputados",0,0,0,https://www.youtube.com/watch?v=9wdoZjGIa70,4176,negative
2024-02-12 18:07:38,Youtube,BCT Neus,Claudia Sheinbaum,Por el día del amor y la amistad #claudiasheinbaum comparte consejos para el amor __ ,0,0,0,https://www.youtube.com/watch?v=EhElUdzqiEo,178,positive
2024-03-07 16:00:06,Youtube,Marcelino Gómez Brenes,Claudia Sheinbaum,"La #Oposición no tiene nada malo que decir de #ClaudiaSheinbaum #DesdeElNorte __ ¡En vivo #DesdeElNorte!

El mejor análisis de la #Mañanera y los temas de mayor interés en el país con Itzul Barrera, El Cubano y Marcelino ahora en su nuevo horario:

Lunes a viernes a partir de las 20:00 de la noche

#DesdeElNorte 🌵
#LaHoraTrasnochada🕒
Suscríbete en YouTube canal Marcelino Gómez Brenes
Síguenos en Twitter: @Gomez_Brenes
Facebook: Marcelino Gómez Brenes
#DesdeElNorte 🌵",0,0,0,https://www.youtube.com/watch?v=C2RsvKOMyeg,44,neutral
2024-04-10 23:44:47,Youtube,Iber Alejandro,Claudia Sheinbaum,"FOFO se reia de que saldría pronto gracias a Norma Piña pero todo cambiò __ #presidente 
#claudia
#sheinbaum
#xochitlgalvez
#xochitl
#marianarodriguez
#samuelgarcia
#movimientociudadano
#pri
#noticiasmexico 
#morena 
#ine         
#amlo 
#ine  
#presidenteamlo     
#politica 
#consejeros 
#diputados",0,0,0,https://www.youtube.com/watch?v=rsTSqWOINos,434,negative
2024-06-11 00:00:13,Youtube,ViajeroUSA Con Matello,Claudia Sheinbaum,"MIENTRAS YO SEA POLITICOS USTEDES NO LO SERAN PALABRAS DE AMLO __ El presidente Andrés Manuel Lopez Obrador nos platica porque sus hijos no estan en la politica ademas Claudia Sheinbaum Pardo resibe un mensaje de el presidente, tambien hable porque es tiempo de mujeres. #amlovers #claudiasheinbaum",6,1724,56,https://www.youtube.com/watch?v=THmxHJ0gBCM,62,neutral
2024-02-14 17:06:20,Youtube,Sistema Informativo NED,Xóchitl Gálvez,Mensaje a Calderón y Xóchitl: Desde España No Se Resuelve La Escasez de Agua- AMLO __ #calderon #xochitl #xochitlgalvez #noticias #claudiasheinbaum #mañanera #mañanera #morena #amlo #viral #elecciones2024 #trending #new #conferenciapresidente #cuartatransformación #lópezobrador #shorts #video,0,0,0,https://www.youtube.com/watch?v=qv-rcLsm09s,70,negative
2024-02-27 17:00:11,Youtube,Jesús Escobar Tovar ,Claudia Sheinbaum,"LORENZO AFIRMA QUE AMLO DESCALIFICARÁ ELECCIONES; LA RADICALIZACIÓN DEL PAN __ En entrevista con Leon Krauze, Lorenzo Cordova continua con el discurso de Elección de Estado, de agresión a la democracia, mostrando la sordera de una oposición que esta dispuesta a empinar al país.

#amlo #xochitlgalvez #claudiasheinbaum",0,0,0,https://www.youtube.com/watch?v=TUvvnsTH5aA,3998,negative
2024-01-21 22:15:01,Youtube,SignoMx,Claudia Sheinbaum,"Sheinbaum, oficialmente candidata de Morena a la presidencia __ Claudia Sheinbaum recibió la constancia como Candidata de Morena a la Presidencia de la República 

#claudiasheinbaum #morena",0,0,0,https://www.youtube.com/watch?v=h1rG_uB4s_I,244,neutral
2024-05-21 20:16:34,Youtube,LA OCTAVA,Claudia Sheinbaum,"#XóchitlGálvez dice ante BANQUEROS que ENCUESTA la COLOCA ARRIBA de #Sheinbaum #Elección2024 __ La candidata presidencial del PRIAN, Xóchitl Gálvez, presumió ante banqueros una encuesta que la coloca arriba de su oponente de Morena, Claudia Sheinbaum.

#XóchitlGálvez #Sheinbaum #Elección2024",99,4427,93,https://www.youtube.com/watch?v=-_fmMTG_Fy4,192,negative
2024-04-29 21:09:25,Youtube,1000 Maneras De Quedar Como Priandejo,Claudia Sheinbaum,"Mil Maneras de quedar como Priandejo, Número 266. el #PRIAN se hunde. #ClaudiaSheinbaum __ ",3,1202,47,https://www.youtube.com/watch?v=qh9b-zw2P2M,50,negative
2024-02-05 19:48:30,Youtube,Bettypelorojo,Xóchitl Gálvez,AMLO ESPERAS DISCULPAS y la DEA responde 😨 #xochitl #noticias #politicomx __ ,0,0,0,https://www.youtube.com/watch?v=edJaX6700q0,251,negative
2024-04-01 04:15:03,Youtube,Poesía Política,Claudia Sheinbaum,"Chayotera Aristegui se Burla de AMLO y la Dra Claudia Sheinbaum __ EL PRESIDENTE AMLO EN CONFERENCIA MENCION ACOMO LA PERIODISTA CARMEN ARISTEGUI ESTUVO EN CONFERENCIA EN HARVARD Y EXPUSO QUE LA DRA CLAUDIA SHEINBAUM ES SUBORDINADA DE AMLO TIPO MOFA .
#politica #noticias #politica #shorts #poesiapolitica #claudiasheinbaum #mexico #shortsfeed 
SUSCRIBETE, COMENTA Y COMPARTE!!",0,0,0,https://www.youtube.com/watch?v=g89zs2UkLwk,1116,negative
2024-04-29 04:37:53,Youtube,EXCELSIOR,Claudia Sheinbaum,Segundo Debate Presidencial: Empleo e inflación #shorts __ #DebatePresidencial #Debate2024 #DebateMéxico #xóchitlgálvez #claudiasheinbaum #maynez,32,5246,115,https://www.youtube.com/watch?v=UTduoZpd-UU,147,negative
2024-01-16 19:54:19,Youtube,Movimiento Ciudadano,Jorge Álvarez Máynez,"Cabina Escucha con Jorge Álvarez Máynez __ La cabina del #MovimientoEscucha llegó a la Ciudad de México junto a nuestro precandidato a la Presidencia de la República, @Alvarezmaynez. 🧡 
No te pierdas todo lo que las y los chilangos nos contaron acerca de sus causas, anhelos y preocupaciones.
¡Llegó el momento de construir un México nuevo! #ElFuturoEsNaranja 🍊
.
.
.
Mensaje dirigido a militantes y simpatizantes de Movimiento Ciudadano.",0,0,0,https://www.youtube.com/watch?v=5kXEIBu7xww,53,positive
